NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 107 GTMIN   229.95  2 2028  3 2028  
 107 GTMIN   229.95  5 2028  6 2028  
 107 GTMIN   229.95 10 2028 11 2028  
 107 GTMIN   211.00 12 2028          
 149 POTEF     8.00 11 2024          SAO SEPE
 149 FCMAX    50.00 11 2024 11 2024  
 149 TEIFT     0.00 11 2024 11 2024  
 149 FCMAX    90.00 12 2024          
 258 POTEF    28.02  7 2026          TROMBUDO
  35 POTEF   639.90 11 2024          URUGUAIANA
  35 FCMAX     0.00 11 2024          
 235 POTEF   144.45 11 2024          CAMACARI MII
 235 TEIFT     0.00 11 2024 11 2024  
  52 POTEF   169.08 11 2024          CAMPINA GDE
  52 FCMAX    99.95 11 2024 11 2024  
  52 TEIFT     0.00 11 2024 11 2024  
  52 FCMAX   100.00 12 2024 12 2024  
  52 FCMAX     0.00  1 2025          
 106 POTEF    16.79 11 2024          ERB CANDEIAS
 106 FCMAX    50.63 11 2024 11 2024  
 106 TEIFT     0.00 11 2024 11 2024  
 106 GTMIN     3.50 11 2024 11 2024  
 106 FCMAX    76.83 12 2024          
 106 GTMIN     4.00 12 2024  2 2025  
 106 IPTER     0.00  1 2025  2 2025  
 106 IPTER   100.00  3 2025  3 2025  
 106 IPTER     0.00  4 2025 12 2025  
 106 GTMIN     4.00  4 2025          
  53 POTEF   148.80 11 2024          GLOBAL I
  53 FCMAX    94.09 11 2024 11 2024  
  53 TEIFT     0.00 11 2024 11 2024  
  53 FCMAX   100.00 12 2024 12 2024  
  53 FCMAX     0.00  1 2025          
  55 POTEF   148.80 11 2024          GLOBAL II
  55 FCMAX    94.09 11 2024 11 2024  
  55 TEIFT     0.00 11 2024 11 2024  
  55 FCMAX   100.00 12 2024 12 2024  
  55 FCMAX     0.00  1 2025          
  57 POTEF   168.00 11 2024          MARACANAU I
  57 FCMAX    97.00 11 2024 11 2024  
  57 TEIFT     0.00 11 2024 11 2024  
  57 FCMAX    97.62 12 2024 12 2024  
  57 FCMAX     0.00  1 2025          
 167 POTEF   720.28 11 2024          P. PECEM I
 167 FCMAX    99.96 11 2024  6 2027  
 167 TEIFT     0.00 11 2024 11 2024  
 167 IPTER     0.00  1 2025  3 2025  
 167 IPTER     1.67  4 2025  4 2025  
 167 IPTER    17.74  5 2025  5 2025  
